constructorStandingsId,raceId,constructorId,points,position,positionText,wins
25943,901,1,43.0,2,2,0
25942,901,131,68.0,1,1,2
25941,900,9,0.0,11,11,0
25940,900,207,0.0,10,10,0
25938,900,206,0.0,8,8,0
25939,900,208,0.0,9,9,0
25937,900,15,0.0,7,7,0
25936,900,5,6.0,6,6,0
25935,900,10,9.0,5,5,0
25934,900,3,10.0,4,4,0
25933,900,6,18.0,3,3,0
25932,900,1,33.0,1,1,0
25931,900,131,25.0,2,2,1
25944,901,6,30.0,3,3,0
25945,901,3,20.0,4,4,0
25946,901,10,19.0,5,5,0
25947,901,5,7.0,7,7,0
25948,901,15,0.0,8,8,0
25949,901,206,0.0,11,11,0
25950,901,208,0.0,9,9,0
25951,901,207,0.0,10,10,0
25952,901,9,15.0,6,6,0
25953,902,131,111.0,1,1,3
25954,902,1,43.0,3,3,0
25955,902,6,33.0,5,5,0
25956,902,3,30.0,6,6,0
25957,902,10,44.0,2,2,0
25958,902,5,7.0,7,7,0
25959,902,15,0.0,9,9,0
25960,902,206,0.0,10,10,0
25961,902,208,0.0,8,8,0
25962,902,207,0.0,11,11,0
25963,902,9,35.0,4,4,0
25964,903,131,154.0,1,1,4
25965,903,1,43.0,5,5,0
25966,903,6,52.0,4,4,0
25967,903,3,36.0,6,6,0
25968,903,10,54.0,3,3,0
25969,903,5,8.0,7,7,0
25970,903,15,0.0,9,9,0
25971,903,206,0.0,10,10,0
25972,903,208,0.0,8,8,0
25973,903,207,0.0,11,11,0
25974,903,9,57.0,2,2,0
25975,904,131,197.0,1,1,5
25976,904,1,43.0,6,6,0
25977,904,6,66.0,3,3,0
25978,904,3,46.0,5,5,0
25979,904,10,57.0,4,4,0
25980,904,5,8.0,7,7,0
25981,904,15,0.0,9,9,0
25982,904,206,0.0,10,10,0
25983,904,208,4.0,8,8,0
25984,904,207,0.0,11,11,0
25985,904,9,84.0,2,2,0
25986,905,131,240.0,1,1,6
25987,905,1,52.0,5,5,0
25988,905,6,78.0,3,3,0
25989,905,3,52.0,6,6,0
25990,905,10,67.0,4,4,0
25991,905,5,8.0,8,8,0
25992,905,15,0.0,10,10,0
25993,905,206,2.0,9,9,0
25994,905,208,8.0,7,7,0
25995,905,207,0.0,11,11,0
25996,905,9,99.0,2,2,0
25997,906,131,258.0,1,1,6
25998,906,1,66.0,5,5,0
25999,906,6,87.0,3,3,0
26000,906,3,58.0,6,6,0
26001,906,10,77.0,4,4,0
26002,906,5,12.0,7,7,0
26003,906,15,0.0,10,10,0
26004,906,206,2.0,9,9,0
26005,906,208,8.0,8,8,0
26006,906,207,0.0,11,11,0
26007,906,9,139.0,2,2,1
26008,907,131,301.0,1,1,7
26009,907,1,72.0,6,6,0
26010,907,6,98.0,3,3,0
26011,907,3,85.0,5,5,0
26012,907,10,87.0,4,4,0
26013,907,5,12.0,7,7,0
26014,907,15,0.0,10,10,0
26015,907,206,2.0,9,9,0
26016,907,208,8.0,8,8,0
26017,907,207,0.0,11,11,0
26018,907,9,143.0,2,2,1
26019,908,131,326.0,1,1,8
26020,908,1,90.0,6,6,0
26021,908,6,106.0,3,3,0
26022,908,3,103.0,4,4,0
26023,908,10,91.0,5,5,0
26024,908,5,15.0,7,7,0
26025,908,15,0.0,10,10,0
26026,908,206,2.0,9,9,0
26027,908,208,8.0,8,8,0
26028,908,207,0.0,11,11,0
26029,908,9,168.0,2,2,1
26030,909,131,366.0,1,1,9
26031,909,1,96.0,6,6,0
26032,909,6,116.0,4,4,0
26033,909,3,121.0,3,3,0
26034,909,10,98.0,5,5,0
26035,909,5,15.0,7,7,0
26036,909,15,0.0,10,10,0
26037,909,206,2.0,9,9,0
