year,constructorId,constructor_name,points,position,wins
2014,131,Mercedes,701.0,1,16
2014,9,Red Bull,405.0,2,3
2014,3,Williams,320.0,3,0
2014,6,Ferrari,216.0,4,0
2014,1,McLaren,181.0,5,0
2014,10,Force India,155.0,6,0
2014,5,Toro Rosso,30.0,7,0
2014,208,Lotus F1,10.0,8,0
2014,206,Marussia,2.0,9,0
2014,15,Sauber,0.0,10,0
2014,207,Caterham,0.0,11,0
2015,131,Mercedes,703.0,1,16
2015,6,Ferrari,428.0,2,3
2015,3,Williams,257.0,3,0
2015,9,Red Bull,187.0,4,0
2015,10,Force India,136.0,5,0
2015,208,Lotus F1,78.0,6,0
2015,5,Toro Rosso,67.0,7,0
2015,15,Sauber,36.0,8,0
2015,1,McLaren,27.0,9,0
2015,209,Manor Marussia,0.0,10,0
2016,131,Mercedes,765.0,1,19
2016,9,Red Bull,468.0,2,2
2016,6,Ferrari,398.0,3,0
2016,10,Force India,173.0,4,0
2016,3,Williams,138.0,5,0
2016,1,McLaren,76.0,6,0
2016,5,Toro Rosso,63.0,7,0
2016,210,Haas F1 Team,29.0,8,0
2016,4,Renault,8.0,9,0
2016,15,Sauber,2.0,10,0
2016,209,Manor Marussia,1.0,11,0
2017,131,Mercedes,668.0,1,12
2017,6,Ferrari,522.0,2,5
2017,9,Red Bull,368.0,3,3
2017,10,Force India,187.0,4,0
2017,3,Williams,83.0,5,0
2017,4,Renault,57.0,6,0
2017,5,Toro Rosso,53.0,7,0
2017,210,Haas F1 Team,47.0,8,0
2017,1,McLaren,30.0,9,0
2017,15,Sauber,5.0,10,0
2018,131,Mercedes,655.0,1,11
2018,6,Ferrari,571.0,2,6
2018,9,Red Bull,419.0,3,4
2018,4,Renault,122.0,4,0
2018,210,Haas F1 Team,93.0,5,0
2018,1,McLaren,62.0,6,0
2018,10,Force India,52.0,7,0
2018,15,Sauber,48.0,8,0
2018,5,Toro Rosso,33.0,9,0
2018,3,Williams,7.0,10,0
2019,131,Mercedes,739.0,1,15
2019,6,Ferrari,504.0,2,3
2019,9,Red Bull,417.0,3,3
2019,1,McLaren,145.0,4,0
2019,4,Renault,91.0,5,0
2019,5,Toro Rosso,85.0,6,0
2019,211,Racing Point,73.0,7,0
2019,51,Alfa Romeo,57.0,8,0
2019,210,Haas F1 Team,28.0,9,0
2019,3,Williams,1.0,10,0
2020,131,Mercedes,573.0,1,13
2020,9,Red Bull,319.0,2,2
2020,1,McLaren,202.0,3,0
2020,211,Racing Point,195.0,4,1
2020,4,Renault,181.0,5,0
2020,6,Ferrari,131.0,6,0
2020,213,AlphaTauri,107.0,7,1
2020,51,Alfa Romeo,8.0,8,0
2020,210,Haas F1 Team,3.0,9,0
2020,3,Williams,0.0,10,0
2021,131,Mercedes,613.5,1,9
2021,9,Red Bull,585.5,2,11
2021,6,Ferrari,323.5,3,0
2021,1,McLaren,275.0,4,1
2021,214,Alpine F1 Team,155.0,5,1
2021,213,AlphaTauri,142.0,6,0
2021,117,Aston Martin,77.0,7,0
2021,3,Williams,23.0,8,0
2021,51,Alfa Romeo,13.0,9,0
2021,210,Haas F1 Team,0.0,10,0
2022,9,Red Bull,759.0,1,17
2022,6,Ferrari,554.0,2,4
2022,131,Mercedes,515.0,3,1
2022,214,Alpine F1 Team,173.0,4,0
2022,1,McLaren,159.0,5,0
2022,51,Alfa Romeo,55.0,6,0
2022,117,Aston Martin,55.0,7,0
2022,210,Haas F1 Team,37.0,8,0
2022,213,AlphaTauri,35.0,9,0
2022,3,Williams,8.0,10,0
2023,9,Red Bull,860.0,1,21
2023,131,Mercedes,409.0,2,0
2023,6,Ferrari,406.0,3,1
2023,1,McLaren,302.0,4,0
2023,117,Aston Martin,280.0,5,0
2023,214,Alpine F1 Team,120.0,6,0
2023,3,Williams,28.0,7,0
2023,213,AlphaTauri,25.0,8,0
2023,51,Alfa Romeo,16.0,9,0
2023,210,Haas F1 Team,12.0,10,0
2024,1,McLaren,666.0,1,6
2024,6,Ferrari,652.0,2,5
2024,9,Red Bull,589.0,3,9
2024,131,Mercedes,468.0,4,4
2024,117,Aston Martin,94.0,5,0
2024,214,Alpine F1 Team,65.0,6,0
2024,210,Haas F1 Team,58.0,7,0
2024,215,RB F1 Team,46.0,8,0
2024,3,Williams,17.0,9,0
2024,15,Sauber,4.0,10,0
