constructor_name,constructor_nationality,year,total_points,avg_finish_position,result_volatility,finish_rate,avg_grid_position,avg_position_delta,total_races,total_laps,dnf_count,best_finish,worst_finish,podiums,wins,championship_position,prev_year_points,yoy_growth_pct,points_per_race,momentum_slope
Alfa Romeo,Swiss,2019,57.0,12.738095238095237,3.9327240221773656,0.9047619047619048,12.166666666666666,-0.5714285714285714,42,2435,4,4,19,0,0,8,,,1.3571428571428572,
Alfa Romeo,Swiss,2020,8.0,13.852941176470589,2.7866821038557825,0.8823529411764706,16.558823529411764,2.7058823529411766,34,1902,4,9,20,0,0,8,57.0,-85.96491228070175,0.23529411764705882,-49.0
Alfa Romeo,Swiss,2021,13.0,13.204545454545455,2.6986606967207583,0.9318181818181818,13.25,0.045454545454545456,44,2438,3,8,20,0,0,9,8.0,62.5,0.29545454545454547,-22.0
Alfa Romeo,Swiss,2022,53.0,13.204545454545455,4.278554121426871,0.75,11.909090909090908,-1.2954545454545454,44,2196,11,5,20,0,0,6,13.0,307.69230769230774,1.2045454545454546,22.5
Alfa Romeo,Swiss,2023,16.0,14.0,3.2205733997621935,0.8636363636363636,13.886363636363637,-0.11363636363636363,44,2473,6,8,20,0,0,9,53.0,-69.81132075471697,0.36363636363636365,1.5
AlphaTauri,Italian,2020,107.0,10.705882352941176,4.713162817399322,0.8529411764705882,11.235294117647058,0.5294117647058824,34,1850,5,1,20,1,1,7,,,3.1470588235294117,
AlphaTauri,Italian,2021,142.0,11.272727272727273,5.271086717148942,0.8181818181818182,8.931818181818182,-2.340909090909091,44,2204,8,3,20,1,0,6,107.0,32.71028037383177,3.227272727272727,35.0
AlphaTauri,Italian,2022,35.0,13.522727272727273,3.8968600142167906,0.7954545454545454,11.5,-2.022727272727273,44,2338,9,5,20,0,0,9,142.0,-75.35211267605634,0.7954545454545454,-36.0
AlphaTauri,Italian,2023,22.0,13.613636363636363,3.397782512791001,0.8863636363636364,13.977272727272727,0.36363636363636365,44,2473,5,7,20,0,0,8,35.0,-37.142857142857146,0.5,-60.0
Alpine F1 Team,French,2021,155.0,10.25,4.636182270630829,0.8863636363636364,10.590909090909092,0.3409090909090909,44,2409,5,1,20,2,1,5,,,3.522727272727273,
Alpine F1 Team,French,2022,170.0,9.863636363636363,4.52687534871825,0.8181818181818182,10.068181818181818,0.20454545454545456,44,2361,8,4,20,0,0,4,155.0,9.67741935483871,3.8636363636363638,15.0
Alpine F1 Team,French,2023,110.0,11.272727272727273,4.561536034457856,0.7727272727272727,10.772727272727273,-0.5,44,2360,10,3,20,2,0,6,170.0,-35.294117647058826,2.5,-22.5
Alpine F1 Team,French,2024,63.0,13.3125,4.33764447303696,0.875,12.520833333333334,-0.7916666666666666,48,2555,6,2,20,2,0,6,110.0,-42.72727272727273,1.3125,-53.5
Aston Martin,British,2021,77.0,12.0,4.40401508140121,0.8181818181818182,12.136363636363637,0.13636363636363635,44,2433,8,2,20,1,0,7,,,1.75,
Aston Martin,British,2022,55.0,11.886363636363637,3.5647884512131642,0.8636363636363636,13.613636363636363,1.7272727272727273,44,2442,6,6,20,0,0,7,77.0,-28.57142857142857,1.25,-22.0
Aston Martin,British,2023,266.0,8.909090909090908,5.403780682629703,0.8409090909090909,8.068181818181818,-0.8409090909090909,44,2459,7,2,20,8,0,5,55.0,383.6363636363636,6.045454545454546,94.5
