constructor_name,avg_points_3yr,avg_volatility_3yr,avg_finish_rate_3yr,avg_position_delta_3yr,latest_momentum,total_podiums_3yr,total_wins_3yr,latest_championship_pos,points_score,consistency_score,reliability_score,momentum_score,race_craft_score,investment_score,investment_rank,tier
McLaren,341.6666666666667,4.701207723320448,0.9318181818181818,-0.6268939393939393,229.5,31,6,1,49.68121628249143,31.553511368174753,100.0,100.0,52.303070761014695,63.02304980289259,1,Gold — Premium
Red Bull,683.6666666666666,5.304703572405322,0.9053030303030303,0.27525252525252525,-93.5,76,47,3,100.0,12.461182624026335,84.93589743589746,0.0,100.0,55.8556802713912,2,Silver — Moderate
Sauber,4.0,2.537659613119289,0.9166666666666666,-0.16666666666666666,-2.6511627906976742,0,0,10,0.0,100.0,91.3919413919414,28.126574987400105,76.63551401869158,51.997657608140386,3,Silver — Moderate
Mercedes,434.0,4.752455528979749,0.8970959595959597,-0.1433080808080808,-30.999999999999996,34,5,4,63.266307013241786,29.93222440398553,80.2731990231991,19.34984520123839,77.8704939919893,50.160946497895395,4,Silver — Moderate
Aston Martin,138.33333333333334,4.3957563537701185,0.8667929292929294,0.05239898989898991,19.5,8,0,5,19.76459048553213,41.21683874921377,63.05708180708191,34.984520123839005,88.21762349799732,41.5108154785929,5,Silver — Moderate
Ferrari,492.3333333333333,5.698593290577776,0.8434343434343434,-1.6016414141414141,38.0,51,10,2,71.84894556154978,0.0,49.78632478632482,40.71207430340557,0.7676902536715604,37.24181627246193,6,Silver — Moderate
Haas F1 Team,31.0,3.5238172965406704,0.8516414141414143,-1.6161616161616161,9.0,0,0,7,3.9725355566454144,68.8016964590573,54.44902319902331,31.73374613003096,0.0,32.90628748761763,7,Silver — Moderate
Williams,17.0,3.599902091199214,0.7558027079303674,0.005319148936170211,4.5,0,0,9,1.912702305051496,66.39466099351982,0.0,30.340557275541798,85.72848904922876,31.813436299926643,8,Silver — Moderate
Alfa Romeo,34.5,3.7495637605945324,0.8068181818181819,-0.7045454545454545,1.5,0,0,9,4.487493869543894,61.659931174207316,28.983516483516564,29.411764705882355,48.197596795727634,31.81087104769172,9,Silver — Moderate
AlphaTauri,28.5,3.647321263503896,0.8409090909090908,-0.8295454545454546,-60.0,0,0,8,3.604708190289357,64.89449752464222,48.35164835164834,10.371517027863778,41.588785046728965,30.790966001240264,10,Silver — Moderate
Alpine F1 Team,114.33333333333333,4.475351952071022,0.8219696969696969,-0.3623737373737373,-53.5,4,0,6,16.23344776851398,38.698734719745445,37.591575091575095,12.38390092879257,66.28838451268358,29.28907291125369,11,Bronze — High Risk
RB F1 Team,40.0,3.7640987920499724,0.8541666666666666,-1.1875,,0,0,8,5.29671407552722,61.20009769022462,55.883699633699656,,22.663551401869157,,12,
