constructor_name,year,avg_pit_duration,median_pit_duration,pit_consistency,fastest_stop,slowest_stop,total_stops,pit_rank
Alfa Romeo,2019,25.700426470588233,24.506,4.642531506145922,20.096,43.411,68,9
Alfa Romeo,2020,26.06498181818182,24.551,4.7943831584504855,17.594,44.085,55,9
Alfa Romeo,2021,25.43355072463768,24.046,6.25401271546383,14.881,54.673,69,7
Alfa Romeo,2022,25.248322580645162,24.3065,5.8662968819648595,14.128,50.79,62,9
Alfa Romeo,2023,25.46715730337079,24.038,6.265318744882375,17.13,55.802,89,8
AlphaTauri,2020,24.92219607843137,23.669,3.701549297359731,17.522,37.317,51,3
AlphaTauri,2021,25.659840579710146,24.328,6.50620362247852,14.943,56.083,69,8
AlphaTauri,2022,24.943853658536586,23.508499999999998,5.860480888965062,13.973,52.684,82,8
AlphaTauri,2023,24.538903614457833,23.508,4.394855528063209,16.246,42.641,83,5
Alpine F1 Team,2021,26.00495238095238,23.919,7.674848121705355,15.432,57.601,63,9
Alpine F1 Team,2022,23.999499999999998,23.546,4.691692173167503,14.041,44.747,68,2
Alpine F1 Team,2023,24.895106666666667,24.037,4.76550889081832,16.38,44.518,75,6
Alpine F1 Team,2024,24.220915492957747,23.208,3.8873283544889388,15.79,39.712,71,2
Aston Martin,2021,25.206119402985074,23.586,6.293461589094328,14.945,52.043,67,6
Aston Martin,2022,24.163306666666667,23.469,4.553553385183016,14.118,39.844,75,3
Aston Martin,2023,24.128587500000002,23.6345,4.410567481768551,16.6,52.708,80,4
Aston Martin,2024,24.71322222222222,23.266,4.220559435667266,17.901,41.674,81,6
Caterham,2014,25.67701851851852,25.4115,3.093538869240153,19.89,34.086,54,9
Ferrari,2014,24.355449999999998,23.9285,3.2837971996000714,19.032,35.112,80,3
Ferrari,2015,25.148109589041095,24.158,5.438466257854639,16.639,59.555,73,5
Ferrari,2016,23.90220253164557,23.056,3.0904599167302895,18.455,31.381,79,2
Ferrari,2017,23.073140625,22.9345,4.24954973849121,14.943,35.204,64,1
Ferrari,2018,24.722641509433963,23.645,4.1655555640844115,18.657,38.573,53,5
Ferrari,2019,24.616410958904112,23.646,3.7875622761129346,19.586,38.468,73,5
Ferrari,2020,25.34122641509434,24.344,4.538951084529372,17.516,40.497,53,6
Ferrari,2021,24.301857142857145,23.064,4.996533668961826,15.092,42.786,63,3
Ferrari,2022,24.33158904109589,23.469,4.594868293468561,14.008,42.292,73,4
Ferrari,2023,23.66263768115942,23.197,3.2604126632132937,16.38,32.888,69,1
Ferrari,2024,24.300813333333334,23.08,4.565579882926965,17.308,47.186,75,4
Force India,2014,24.79558208955224,23.902,3.263322104242544,19.514,35.289,67,5
Force India,2015,25.316300000000002,24.233,3.808518580532445,16.958,35.776,70,6
Force India,2016,24.00089024390244,23.457,3.528940623767491,16.227,32.821,82,4
Force India,2017,24.14044155844156,24.03,4.398717209816332,14.951,35.485,77,7
Force India,2018,25.17796153846154,24.213,4.359114417894491,19.57,47.91,52,8
Haas F1 Team,2016,25.329753086419753,23.705,5.809702314944513,16.475,58.563,81,9
Haas F1 Team,2017,24.761097222222222,24.2105,4.770527927674733,15.073,39.455,72,9
Haas F1 Team,2018,25.23305263157895,24.008,4.17145061451329,19.752,38.563,57,9
Haas F1 Team,2019,24.471939393939394,23.4785,4.1778981718959995,16.224,43.576,66,3
Haas F1 Team,2020,26.733041666666665,25.8585,3.9449249538925293,21.977,40.078,48,10
Haas F1 Team,2021,26.12269014084507,24.578,7.016242229064031,15.054,51.222,71,10
Haas F1 Team,2022,26.04976388888889,24.734,5.4307603194848975,14.144,39.247,72,10
Haas F1 Team,2023,25.822558139534888,24.442500000000003,5.324542745581181,16.778,51.052,86,9
Haas F1 Team,2024,25.770117647058825,23.966,5.809571737375201,18.145,58.984,85,10
Lotus F1,2014,24.921805555555558,24.198,3.5232981013468927,16.12,34.249,72,7
Lotus F1,2015,25.357646153846154,24.292,5.631376678460741,16.444,54.445,65,8
Manor Marussia,2015,26.843411764705884,25.6795,5.4614702799671075,17.116,48.861,68,10
Manor Marussia,2016,26.019444444444442,25.216,5.268882976969596,16.218,57.151,81,11
Marussia,2014,26.294081967213117,24.91,5.115313953529089,18.989,52.836,61,11
McLaren,2014,24.454974999999997,23.804000000000002,3.1420362863410007,18.916,37.116,80,4
McLaren,2015,24.665944444444445,23.784,4.613170517358124,16.128,44.99,72,2
McLaren,2016,23.968333333333334,23.4775,3.877296895112808,16.486,42.815,84,3
McLaren,2017,24.08065573770492,23.578,5.211326254372124,15.097,39.562,61,6
McLaren,2018,25.36338596491228,23.73,6.423777248168341,18.956,56.71,57,10
McLaren,2019,26.156410714285716,23.872,7.618790657498877,19.755,59.291,56,10
McLaren,2020,25.35167857142857,24.2035,4.247886615106999,17.845,37.108,56,7
McLaren,2021,24.526999999999997,23.5255,4.924234803499929,14.994,38.267,66,4
McLaren,2022,24.4929358974359,23.634500000000003,4.621445833636925,14.493,43.032,78,5
McLaren,2023,25.17423170731707,23.553,5.202754385185072,17.324,44.272,82,7
McLaren,2024,23.920753246753247,22.867,3.565255922591654,17.573,36.069,77,1
Mercedes,2014,24.296972972972974,23.886499999999998,2.657354338708204,19.71,33.82,74,2
Mercedes,2015,23.811493333333335,23.165,3.0481383036532637,16.579,33.689,75,1
Mercedes,2016,23.7502987012987,23.15,3.311289771233747,16.983,30.546,77,1
Mercedes,2017,23.461333333333336,22.999,4.178551566760715,14.978,36.262,69,2
Mercedes,2018,23.672111111111114,22.683999999999997,3.225991856641844,18.978,33.279,54,1
Mercedes,2019,23.939985074626865,23.21,2.957025888597269,19.61,33.328,67,1
Mercedes,2020,25.16132258064516,23.9215,5.5302819741770834,16.365,52.874,62,4
Mercedes,2021,24.118133333333333,22.68,4.659453996934572,15.432,40.266,75,2
Mercedes,2022,24.659684210526315,23.843,4.853641267366254,14.155,41.019,76,7
Mercedes,2023,23.8815375,22.877000000000002,4.115146465067276,16.415,39.845,80,2
Mercedes,2024,24.250320512820515,22.8955,3.8477782136775605,17.596,37.915,78,3
RB F1 Team,2024,24.733666666666668,22.9485,4.7021859974834666,17.535,45.049,72,7
Racing Point,2019,25.31364516129032,23.4905,4.324014737000312,18.838,39.188,62,7
Racing Point,2020,25.3215306122449,23.689,4.6363099061557955,16.546,37.483,49,5
Red Bull,2014,24.066038961038963,23.34,3.208737374410026,18.868,34.697,77,1
Red Bull,2015,24.776136986301367,23.997,3.9639640874419735,16.453,43.24,73,3
Red Bull,2016,24.529214285714286,23.56,4.8242461923851145,17.165,47.763,98,6
Red Bull,2017,23.603339285714288,23.45,4.30117452152437,15.135,39.888,56,4
Red Bull,2018,23.778391304347828,22.7895,3.6700961082072854,19.087,37.446,46,2
Red Bull,2019,23.97193846153846,23.071,3.311499721033334,19.062,34.1,65,2
Red Bull,2020,24.52821818181818,23.562,3.5161273925163794,17.035,33.308,55,1
Red Bull,2021,23.978025641025642,22.744,4.623024242007729,15.277,44.608,78,1
Red Bull,2022,23.951578313253012,23.299,4.522628622988535,14.113,38.061,83,1
Red Bull,2023,23.928477272727275,23.003,4.390719012616656,16.369,41.499,88,3
Red Bull,2024,24.357275,22.9495,3.998399094115391,17.222,43.73,80,5
Renault,2016,24.960439024390244,23.826999999999998,5.379891719727187,16.851,55.697,82,7
Renault,2017,24.224,24.0235,4.545974577748809,15.638,40.144,66,8
Renault,2018,24.20658823529412,23.868,2.9625769132731103,18.509,31.183,51,3
Renault,2019,24.96535714285714,23.7175,3.7931128230401603,20.118,36.031,56,6
Renault,2020,24.612295454545457,24.293,3.348289688917179,17.455,30.768,44,2
Sauber,2014,25.865706666666668,24.403,5.011696979616335,19.638,55.222,75,10
Sauber,2015,25.3311724137931,24.699,4.300914338178154,16.211,49.162,87,7
Sauber,2016,25.46185,24.511499999999998,4.779786323013916,16.419,45.7,80,10
Sauber,2017,27.109957746478873,25.179,6.865803947175179,17.341,51.757,71,10
Sauber,2018,25.17426,23.768,5.103143220304401,14.998,44.107,50,7
Sauber,2024,25.74828205128205,24.246000000000002,5.265065246441306,18.938,46.969,78,9
Toro Rosso,2014,25.524615384615384,24.4345,3.913758203916189,19.385,45.629,78,8
Toro Rosso,2015,26.439960526315787,24.48,6.835575542587547,16.415,55.789,76,9
Toro Rosso,2016,25.072831325301205,24.281,3.7287148110218338,18.636,37.837,83,8
Toro Rosso,2017,23.4998125,23.3425,4.923645545360592,14.966,45.538,64,3
Toro Rosso,2018,24.386326923076922,23.399,4.383932886996824,18.084,41.012,52,4
Toro Rosso,2019,25.412629032258067,23.7505,4.844143769555867,17.257,43.206,62,8
Williams,2014,24.824068493150683,24.374,2.9894944403916215,20.115,35.284,73,6
Williams,2015,25.145569620253166,24.412,4.413611387408867,16.427,42.934,79,4
Williams,2016,24.078364705882354,23.464,3.640559630733987,17.388,36.395,85,5
Williams,2017,24.080266666666667,23.109,4.7073930305578,15.033,40.612,75,5
Williams,2018,24.819171875,23.7155,4.118274220749714,18.61,41.048,64,6
Williams,2019,24.47635135135135,23.5655,4.262711251929565,15.069,38.752,74,4
Williams,2020,25.59193220338983,24.248,4.339260098475421,18.399,40.028,59,8
Williams,2021,24.936910447761193,23.681,5.009406441979909,18.153,46.315,67,5
Williams,2022,24.62312048192771,23.826,4.722718549469384,14.114,37.497,83,6
Williams,2023,25.846513157894737,24.322,6.675233883529818,16.737,52.165,76,10
Williams,2024,25.204671232876713,23.606,4.72456486842614,17.745,39.687,73,8
